小区名称,房源数量,平均单价,经度,纬度
森陇家园,1,74346,121.416232,31.136797
楼园小区,15,60806.26666666667,121.431272,31.145279
樟树苑,1,75250,121.451166,31.14856
樱花园(徐汇),6,52640.166666666664,121.431842,31.199136
橡胶小区,6,87471.33333333333,121.445572,31.196913
欣嘉苑,5,95727.6,121.410724,31.180679
欣园新邨,4,65530.25,121.407272,31.157324
武康路391弄,2,114160.5,121.439219,31.205915
武康路73弄,1,142341,121.440849,31.212311
民苑小区,12,111177.25,121.45807,31.171307
气象苑,2,85330,121.437164,31.168507
永兆豪庭,3,84517,121.395743,31.173606
永嘉大楼,4,120326.5,121.449294,31.20452
永嘉路485弄,1,129537,121.453695,31.206323
永嘉路486号,2,124532,121.453674,31.206321
永太小区,4,128689,121.456411,31.209247
永康路141弄,1,113551,121.456287,31.209871
永康路175弄,1,120116,121.456096,31.209385
永康路180号,1,243422,121.456239,31.210286
永新城,9,151586,121.436307,31.188334
永新花苑,2,100161,121.443443,31.193286
永福第六小区,2,137561,121.437639,31.206332
永福路147弄,1,147825,121.444292,31.209715
汇京佳丽园,3,95940.66666666667,121.429969,31.147135
汇峰鼎园,4,146545.5,121.436307,31.188334
汇成一村,2,51810.5,121.436307,31.188334
汇成三村,4,55824.75,121.436307,31.188334
汇成二村,5,48420.8,121.43492,31.145582
汇成五村,5,63588.4,121.436307,31.188334
汇成四村,2,55255,121.435493,31.144711
汇成宾阳苑,2,115006,121.436915,31.163457
汇成桂苑,1,115322,121.436307,31.188334
汇景苑,3,104598.66666666667,121.461516,31.204203
汇翠花园,3,95986,121.438541,31.184992
汇达苑,1,63170,121.438078,31.149558
汇金广场,4,89144,121.440415,31.195237
汇龙花苑(徐汇),6,86695.16666666667,121.431842,31.199136
汽联大厦,7,82285.71428571429,121.456773,31.199069
汾阳路9弄,2,136804,121.455706,31.213846
沪贵苑,2,100859,121.433566,31.187125
河滨国际公寓,2,91114.5,121.431509,31.164107
泰东新村(徐汇),10,95127.6,121.431842,31.199136
泰安路27弄,3,90531,121.43769,31.20546
泰康大楼,1,78640,121.457881,31.197006
泰德苑,1,153516,121.431524,31.187976
泰莱大厦,9,92589,121.46077,31.189716
海上华庭,3,100780.66666666667,121.417975,31.149083
海上名邸,4,114235.5,121.423879,31.155435
海上名门公寓,1,102737,121.42783,31.160051
海天公寓,4,102200.5,121.441758,31.191354
海珀旭晖,5,183899.4,121.458428,31.182624
海螺花园,2,94065,121.436307,31.188334
淮海中路1795号,1,141383,121.439974,31.205081
淮海大楼,4,149867,121.44994,31.213055
淮海鑫城苑,1,108246,121.424911,31.196546
清枫大楼,5,94043.2,121.456379,31.198884
清真路77号,2,86824,121.458972,31.199143
湖南路298弄,2,115030,121.438681,31.208526
滨江小区,2,74356,121.457044,31.152442
漕河景苑,4,107430,121.429875,31.164647
漕泾一村,2,61572,121.436307,31.188334
漕溪一村,13,70324.38461538461,121.436823,31.174018
漕溪三村,7,79616.57142857143,121.43719,31.170806
漕溪二村,3,79094.33333333333,121.439107,31.172001
漕溪四村,8,79047.375,121.439813,31.171379
漕溪大楼,4,86835.75,121.436002,31.184092
炎虹路71弄,2,89482,121.465389,31.202412
炎虹路76弄,2,86734,121.465389,31.202412
煤科公寓,6,76147.5,121.445382,31.180431
爱中爱华公寓,5,98358.4,121.449474,31.186025
爱乐大厦,1,66725,121.446544,31.187902
爱博大厦,1,73164,121.446193,31.188543
爱建园,9,109262.22222222222,121.432641,31.175063
爱邦大厦,1,56644,121.447447,31.188234
狮城花苑,14,73425.35714285714,121.446967,31.165539
玉兰花苑,17,90541.05882352941,121.435064,31.18611
王家堂小区,5,92253.8,121.444003,31.189258
瑞嘉公寓,2,104064,121.465134,31.203351
瑞金南苑,2,104870.5,121.467246,31.199625
瑞金尊邸,1,109121,121.436307,31.188334
生活花苑,3,72727.33333333333,121.448876,31.168576
田林一村,2,70221,121.422071,31.174703
田林三四村,3,66478.66666666667,121.422478,31.170246
田林九村,4,79594.25,121.421834,31.172764
田林五六七村,18,66876.22222222222,121.418501,31.171765
田林十一村,12,72921.58333333333,121.425926,31.171407
田林十三村,1,75550,121.424739,31.173275
田林十二村,18,67556.16666666667,121.428621,31.172214
田林十四村,18,69721.22222222222,121.423526,31.175538
田林十村,3,86478.33333333333,121.421143,31.174294
田林新苑,10,60477.6,121.422071,31.174703
申峰大厦,8,86612.875,121.441847,31.187118
申德公寓,1,92570,121.421523,31.176867
申航小区,14,85517.21428571429,121.441639,31.177808
电影华苑,4,103696.75,121.436307,31.188334
番南小区,4,103025.75,121.426801,31.192123
番禺大楼,2,71217,121.427961,31.195833
番禺小区,1,90336,121.427987,31.198197
番禺路650弄,2,102706,121.42906,31.199295
番禺路998弄,3,95027.66666666667,121.427871,31.195206
百乐公寓,3,94770,121.459911,31.198755
百合花苑,1,63472,121.412762,31.15035
百汇园一期,14,166786.35714285713,121.46046,31.1726
百汇园二期,11,167081.81818181818,121.45946,31.17441
百龙小区,5,73719,121.450056,31.145126
盛华景苑,24,66622.04166666667,121.455236,31.108796
盛大花园,12,112979.08333333333,121.436307,31.188334
石油公寓,3,87507.66666666667,121.433354,31.197084
祥和公寓(徐汇),3,110259,121.431842,31.199136
福华花苑,7,100753,121.4655,31.200996
福苑小区,9,69306.55555555556,121.425654,31.176266
秀山支路5弄,2,103636,121.430153,31.196539
秀水苑(徐汇),2,65065,121.431842,31.199136
科华公寓,1,95040,121.430056,31.16879
科嘉小区,2,92411.5,121.442135,31.19429
科汇公寓,3,93137.66666666667,121.436307,31.188334
科汇景苑,3,90343.66666666667,121.439749,31.172286
科苑新村,10,74462.7,121.432876,31.163795
紫薇园,7,61690.28571428572,121.40984,31.151896
紫藤苑,1,84418,121.412564,31.149226
紫阳花苑,15,59720.13333333333,121.455508,31.114637
红旗教师公寓,11,92754.54545454546,121.449492,31.19116
罗城小区,6,64633.833333333336,121.434144,31.14954
罗秀三村,12,55008.916666666664,121.436307,31.188334
罗秀二村,1,51512,121.449261,31.131408
罗秀家园,2,81222,121.432027,31.131795
罗秀新村,23,61737.04347826087,121.447743,31.132315
罗秀路1001弄,1,63418,121.429896,31.129385
美乐小区,3,82018.33333333333,121.42522,31.170329
美晶佳园,2,110020,121.444773,31.182676
老沪闵路439弄,4,54071.5,121.427113,31.147922
联业大厦,4,113139.5,121.450615,31.200069
肇嘉浜路853弄,6,88497.16666666667,121.446394,31.197362
腾王阁,1,86341,121.451826,31.182825
舒乐公寓,3,48582,121.434893,31.13117
舒乐小区,11,58430,121.434391,31.13047
舒城苑,3,80589.33333333333,121.434413,31.129444
航天新苑,3,73721.66666666667,121.434234,31.171105
航道住宅小区,2,88117,121.463626,31.195295
良友公寓,1,146497,121.443746,31.210371
芝大厦,3,153095,121.448774,31.206699
花苑村丁香园,6,56733.833333333336,121.415381,31.145819
花苑村桂花园,2,51329,121.416174,31.148068
花苑村梅花园,3,63402.666666666664,121.41519,31.149258
花苑村玉兰园,4,58258.5,121.413372,31.144038
花苑村紫竹园,5,59025.8,121.413916,31.153028
花苑茶花园,2,61248.5,121.414351,31.151138
茂龄别墅(公房),3,116151.66666666667,121.447587,31.201253
茶陵小区,2,80517.5,121.468195,31.195896
茶陵路159弄,3,91210.66666666667,121.467795,31.196914
茶陵路345弄,3,88512.66666666667,121.462838,31.196752
茶陵路400弄,2,89172,121.463339,31.1962
荣承公寓,1,94358,121.450125,31.192084
莱诗邸,3,131601,121.440094,31.190159
莲岸家园,1,81523,121.424356,31.128722
薛家宅小区,5,66026,121.426787,31.163747
虹桥丽园,1,121053,121.428726,31.194134
虹桥乐庭,1,124606,121.426173,31.193661
虹桥路400弄,9,95105.11111111111,121.430087,31.192266
虹桥路772弄,2,101810,121.424751,31.194579
虹梅南路126弄,1,47338,121.417012,31.13974
虹梅南路96弄,9,56411.444444444445,121.415876,31.140187
虹梅小区,5,60321,121.395849,31.175114
衡安大楼,2,100651,121.446125,31.204554
衡山路58弄,2,97314.5,121.445803,31.204309
衡山路696弄,1,109895,121.442039,31.199264
裕德大厦,6,87231,121.436307,31.188334
裕德路66弄,5,108244.4,121.435633,31.184409
襄北大楼,2,109842,121.455623,31.217117
襄阳公寓,1,160783,121.457817,31.203794
襄阳南路277弄,3,129250.66666666667,121.458233,31.209871
襄阳南路388弄,2,143707,121.457354,31.207344
襄阳南路452弄,5,139068,121.457921,31.206131
西木小区,12,90021.66666666667,121.458635,31.19433
西雅图嘉萱苑,8,112377.875,121.438256,31.166968
