Unnamed: 0,小区名称,具体地址,建成时间,挂牌均价,经度,纬度,驾车距离(米),所需时间(秒)
166,长乐路661号,(徐汇衡山路)长乐路661号,暂无信息 ,0,121.449919,31.21652,4410,911
167,华亭路28号,(徐汇衡山路)华亭路28号,暂无信息 ,0,121.449772,31.215684,4285,930
168,永嘉路358号,(徐汇建国西路)永嘉路358号,暂无信息 ,0,121.456785,31.208514,3811,764
169,吴兴路45号,(徐汇衡山路)吴兴路45号,暂无信息 ,0,121.442831,31.204704,4089,830
170,安亭路31号,(徐汇衡山路)安亭路31号,暂无信息 ,0,121.447848,31.203625,3154,660
171,襄阳南路271弄,(徐汇建国西路)襄阳南路271弄,暂无信息 ,0,121.458077,31.210271,4291,819
172,五原路131号,(徐汇衡山路)五原路131号,暂无信息 ,0,121.446789,31.213302,4221,888
173,高邮路38号,(徐汇衡山路)高邮路38号,暂无信息 ,0,121.437064,31.209697,4646,963
174,复兴西路145号,(徐汇衡山路)复兴西路145号,暂无信息 ,0,121.442551,31.210504,4023,811
175,宝庆路18弄,(徐汇衡山路)宝庆路18弄,暂无信息 ,0,121.449801,31.210381,3622,746
176,复兴西路147号,(徐汇衡山路)复兴西路147号,暂无信息 ,0,121.442448,31.210553,4033,812
177,余庆路9号,(徐汇徐家汇)余庆路9号,暂无信息 ,0,121.438335,31.203597,4019,769
178,高邮路59号,(徐汇衡山路)高邮路59号,暂无信息 ,0,121.437064,31.209697,4646,963
179,高安路73弄,(徐汇衡山路)高安路73弄,暂无信息 ,0,121.446461,31.201677,3010,641
180,东安路15号,(徐汇徐家汇)东安路15号,暂无信息 ,0,121.450913,31.198704,2449,554
181,联峰汇大厦,(徐汇徐家汇)广元西路315号,2012年 ,0,121.432226,31.194953,4703,963
182,高安路104号,(徐汇衡山路)高安路104号,暂无信息 ,0,121.447539,31.199336,2713,586
183,泰安路9号,(徐汇衡山路)泰安路9号,暂无信息 ,0,121.438334,31.206064,4514,955
184,衡山路13号,(徐汇衡山路)衡山路13号,暂无信息 ,0,121.443981,31.201255,3418,734
185,襄阳北路60号,(徐汇衡山路)襄阳北路60号,暂无信息 ,0,121.454892,31.219199,4963,1012
186,永嘉路350弄,(徐汇建国西路)永嘉路350弄,暂无信息 ,0,121.457202,31.208425,3842,795
187,小木桥路153号,(徐汇斜土路)小木桥路153号,暂无信息 ,0,121.45709,31.199207,2619,533
188,永康路209号,(徐汇建国西路)永康路209号,暂无信息 ,0,121.454334,31.209491,3950,828
189,淮海中路1881弄,(徐汇徐家汇)淮海中路1881弄,暂无信息 ,0,121.437547,31.20354,4223,796
190,五原路100号,(徐汇衡山路)五原路100号,暂无信息 ,0,121.446789,31.213302,4221,888
191,宜山路480弄,(徐汇徐家汇)宜山路480弄,2015年 ,0,121.426727,31.18214,3623,624
192,襄阳南路274号,(徐汇建国西路)襄阳南路274号,暂无信息 ,0,121.457707,31.210461,4218,799
193,湖南路9号,(徐汇衡山路)湖南路9号,暂无信息 ,0,121.442319,31.208154,4350,850
194,襄阳南路364号,(徐汇建国西路)襄阳南路364号,暂无信息 ,0,121.457888,31.207827,4042,851
195,乌鲁木齐路301弄,(徐汇衡山路)乌鲁木齐路301弄,暂无信息 ,0,121.450028,31.200823,2512,591
196,乌鲁木齐路394号,(徐汇衡山路)乌鲁木齐路394号,暂无信息 ,0,121.450072,31.200291,2482,595
197,永嘉路677号,(徐汇衡山路)永嘉路677号,暂无信息 ,0,121.447213,31.203946,3134,660
