Unnamed: 0,小区名称,具体地址,建成时间,挂牌均价,经度,纬度
126,东方时空公寓,(徐汇徐家汇)番禺路1099弄,2003年 ,127059,121.427472,31.192834
127,宛平南苑,(徐汇徐家汇)宛平南路300弄,2005年 ,109433,121.446120,31.192352
128,宜德苑,(徐汇徐家汇)古宜路99弄,2005年 ,102636,121.426147,31.185262
129,环线广场,(徐汇田林)宜山路515号,2001-2003年 ,0,121.425749,31.180394
130,凯托大厦,(徐汇田林)中山西路1878弄1-2号,2005年 ,86822,121.424980,31.183122
131,徐汇御景苑,(徐汇龙华)龙吴路288弄,2004年 ,101125,121.445961,31.166119
132,澳龙公寓,(徐汇万体馆)龙漕路51弄3号,2003年 ,83019,121.436465,31.169193
133,南林公寓,(徐汇田林)中山西路小闸镇街123号,2005年 ,90184,121.426681,31.179760
134,中星虹漕公寓,(徐汇康健)桂林西街85弄35-36号,2000年 ,77425,121.416031,31.151344
135,河滨国际公寓,(徐汇康健)钦州路209-211号,2007年 ,92827,121.430968,31.164099
136,明安馨苑,(徐汇万体馆)龙华西路525弄,2005年 ,108196,121.442111,31.175849
137,嘉嘉大楼,(徐汇建国西路)永嘉路158号,2004年 ,167464,121.459187,31.209556
138,徐汇长春苑,(徐汇田林)钦州北路158弄,2008年 ,83940,121.421470,31.181051
139,汇鑫国际大厦,(徐汇徐家汇)宜山路333号,2007-2010年 ,0,121.430416,31.187458
140,漕河景苑,(徐汇康健)康健路58弄,2007年 ,114229,121.429808,31.165210
141,明申中心大厦,(徐汇徐家汇)凯旋路3131号,2000年 ,0,121.432708,31.181681
142,之俊大厦,(徐汇斜土路)斜土路1221号,2005-2008年 ,0,121.464950,31.199256
143,兆丰环球大厦,(徐汇田林)中山西路1800号,2015年 ,0,121.424311,31.183359
144,均瑶国际广场,(徐汇徐家汇)肇嘉浜路789号,2002-2003年 ,0,121.448603,31.198065
145,明园世纪城,(徐汇建国西路)复兴中路1199号,2000-2003年 ,108011,121.458812,31.212414
146,金色港湾,(徐汇斜土路)大木桥路158弄,2000-2002年 ,113228,121.460938,31.198864
147,紫藤苑,(徐汇康健)桂平路88弄,2001年 ,92189,121.412564,31.149226
148,樟树苑,(徐汇徐汇滨江)龙吴路988弄1-24号,2000年 ,71624,121.451603,31.148435
149,宏汇大厦,(徐汇徐家汇)漕溪北路468号,2001年 ,88356,121.436386,31.186911
150,飞雕国际大厦,(徐汇徐家汇)肇嘉浜路1065号,2006年 ,0,121.441315,31.194430
151,阳光名苑,(徐汇徐家汇)斜土路2099弄（一期）,2004-2008年 ,134139,121.450958,31.194583
152,岳阳公寓,(徐汇建国西路)岳阳路217号,2003年 ,0,121.452991,31.204305
153,凯旋豪庭,(徐汇徐家汇)凯旋路3188弄,2005年 ,95033,121.431549,31.183655
154,绿邑翠苑,(徐汇植物园)龙吴路555弄,2005年 ,87172,121.448841,31.156950
155,日晖新城,(徐汇斜土路)零陵北路9弄1-5号,2003年 ,100151,121.465395,31.196276
156,瑞嘉公寓,(徐汇斜土路)肇嘉浜路99弄,2003年 ,112734,121.465318,31.203629
157,虹桥丽园,(徐汇徐家汇)虹桥路591弄,2000年 ,112772,121.428726,31.194134
158,云都新苑,(徐汇万体馆)龙漕路221弄,2003年 ,97837,121.441893,31.170501
159,阳光名邸,(徐汇徐家汇)凯旋路1688弄,2000-2001年 ,117119,121.422462,31.194512
160,南馨公寓,(徐汇徐家汇)天钥桥路180弄8号,2002年 ,138974,121.440986,31.190998
161,衡园,(徐汇斜土路)肇嘉浜路201弄,2001-2003年 ,122555,121.463849,31.201950
162,同汇苑,(徐汇徐家汇)斜土路2455弄1-9号,2000年 ,116227,121.445401,31.189030
163,东方时空公寓,(徐汇徐家汇)番禺路1099弄,2003年 ,127059,121.427472,31.192834
164,美晶佳园,(徐汇万体馆)天钥桥路869号,2003年 ,100836,121.444314,31.182594
165,漕东三路25号,(徐汇万体馆)漕东三路25号,暂无信息 ,0,121.436915,31.170897
166,长乐路661号,(徐汇衡山路)长乐路661号,暂无信息 ,0,121.449919,31.216520
167,华亭路28号,(徐汇衡山路)华亭路28号,暂无信息 ,0,121.449772,31.215684
168,永嘉路358号,(徐汇建国西路)永嘉路358号,暂无信息 ,0,121.456785,31.208514
169,吴兴路45号,(徐汇衡山路)吴兴路45号,暂无信息 ,0,121.442831,31.204704
170,安亭路31号,(徐汇衡山路)安亭路31号,暂无信息 ,0,121.447848,31.203625
171,襄阳南路271弄,(徐汇建国西路)襄阳南路271弄,暂无信息 ,0,121.458077,31.210271
172,五原路131号,(徐汇衡山路)五原路131号,暂无信息 ,0,121.446789,31.213302
173,高邮路38号,(徐汇衡山路)高邮路38号,暂无信息 ,0,121.437064,31.209697
174,复兴西路145号,(徐汇衡山路)复兴西路145号,暂无信息 ,0,121.442551,31.210504
175,宝庆路18弄,(徐汇衡山路)宝庆路18弄,暂无信息 ,0,121.449801,31.210381
176,复兴西路147号,(徐汇衡山路)复兴西路147号,暂无信息 ,0,121.442448,31.210553
177,余庆路9号,(徐汇徐家汇)余庆路9号,暂无信息 ,0,121.438335,31.203597
178,高邮路59号,(徐汇衡山路)高邮路59号,暂无信息 ,0,121.437064,31.209697
179,高安路73弄,(徐汇衡山路)高安路73弄,暂无信息 ,0,121.446461,31.201677
180,东安路15号,(徐汇徐家汇)东安路15号,暂无信息 ,0,121.450913,31.198704
181,联峰汇大厦,(徐汇徐家汇)广元西路315号,2012年 ,0,121.432226,31.194953
182,高安路104号,(徐汇衡山路)高安路104号,暂无信息 ,0,121.447539,31.199336
183,泰安路9号,(徐汇衡山路)泰安路9号,暂无信息 ,0,121.438334,31.206064
184,衡山路13号,(徐汇衡山路)衡山路13号,暂无信息 ,0,121.443981,31.201255
185,襄阳北路60号,(徐汇衡山路)襄阳北路60号,暂无信息 ,0,121.454892,31.219199
186,永嘉路350弄,(徐汇建国西路)永嘉路350弄,暂无信息 ,0,121.457202,31.208425
187,小木桥路153号,(徐汇斜土路)小木桥路153号,暂无信息 ,0,121.457090,31.199207
188,永康路209号,(徐汇建国西路)永康路209号,暂无信息 ,0,121.454334,31.209491
189,淮海中路1881弄,(徐汇徐家汇)淮海中路1881弄,暂无信息 ,0,121.437547,31.203540
190,五原路100号,(徐汇衡山路)五原路100号,暂无信息 ,0,121.446789,31.213302
191,宜山路480弄,(徐汇徐家汇)宜山路480弄,2015年 ,0,121.426727,31.182140
192,襄阳南路274号,(徐汇建国西路)襄阳南路274号,暂无信息 ,0,121.457707,31.210461
193,湖南路9号,(徐汇衡山路)湖南路9号,暂无信息 ,0,121.442319,31.208154
194,襄阳南路364号,(徐汇建国西路)襄阳南路364号,暂无信息 ,0,121.457888,31.207827
195,乌鲁木齐路301弄,(徐汇衡山路)乌鲁木齐路301弄,暂无信息 ,0,121.450028,31.200823
196,乌鲁木齐路394号,(徐汇衡山路)乌鲁木齐路394号,暂无信息 ,0,121.450072,31.200291
197,永嘉路677号,(徐汇衡山路)永嘉路677号,暂无信息 ,0,121.447213,31.203946
