小区名称,房源数量,平均单价,经度,纬度,驾车距离(米),所需时间(秒)
华泾五村,4,54137.5,121.445737,31.119864,10079,1383
华泾四村,1,53095.0,121.447861,31.120194,9712,1331
华泾绿苑,10,68484.0,121.449666,31.122398,9695,1233
华港小区,1,107466.0,121.436307,31.188334,3493,764
华滨家园,12,76435.5,121.449884,31.139911,6282,943
华狮国际公寓,2,109631.0,121.441845,31.190525,2924,641
华理苑,11,61121.0,121.420693,31.144217,8156,1291
华绮公寓,2,120421.0,121.445192,31.203476,3308,750
华鼎广场,7,79250.14285714286,121.432008,31.180173,3665,633
华龙公寓(徐汇),2,103496.0,121.431842,31.199136,5524,1213
华龙新苑小区,11,93874.18181818182,121.456407,31.17454,1454,246
协合紫薇园,2,100101.0,121.429852,31.144652,6360,978
协昌小区,9,82405.22222222222,121.444304,31.179398,2337,442
南丹公寓,1,91785.0,121.436307,31.188334,3493,764
南丹大楼,2,98142.0,121.441767,31.190044,2959,653
南丹小区,10,114204.3,121.430324,31.191219,4223,889
南丹路128弄,8,118024.125,121.432587,31.189083,3826,803
南天大楼,5,94826.8,121.442592,31.190613,3045,667
南宜花苑,4,101851.0,121.42863,31.186938,4220,957
南山大楼,2,88480.0,121.430833,31.189499,4062,857
南林公寓,5,90608.4,121.426681,31.17976,4278,925
南溪公寓,1,96602.0,121.438913,31.187801,3393,624
南站阳光小区,1,54913.0,121.427938,31.146296,6178,965
南虹公寓,2,101032.5,121.432022,31.190189,4039,846
印象欧洲(公寓),4,96363.75,121.458675,31.1175,9698,1212
双峰路8弄,1,83366.0,121.446093,31.187796,2226,488
双晖小区,7,86736.28571428571,121.467379,31.197202,2741,511
叠加苑,2,84855.5,121.453242,31.153145,3987,630
合丰大楼,3,89957.0,121.462148,31.198626,2628,508
吉象小区,3,87425.33333333333,121.452433,31.183106,1668,264
名人花苑,12,59712.333333333336,121.453588,31.115014,9355,1212
名仕苑,6,132794.66666666666,121.434811,31.196244,4871,977
吴东小区,6,76390.83333333333,121.422474,31.191462,4847,1070
吴中公寓,1,64433.0,121.420411,31.187414,4990,816
吴兴大楼,1,94012.0,121.444457,31.200954,3588,895
吴兴路30弄,3,135744.33333333334,121.441945,31.20509,4036,918
周家湾小区,11,77386.90909090909,121.450815,31.171156,2364,488
和平小区(徐汇),9,58703.0,121.430798,31.132245,9025,1264
嘉乐公寓,1,92812.0,121.45931,31.201962,3214,653
嘉善路232弄,9,157198.77777777778,121.459344,31.207962,5169,863
嘉川公寓,2,62631.0,121.429593,31.139181,6892,1058
嘉御庭一期,2,193266.0,121.459719,31.206481,5473,950
嘉御庭三期（璈峰）,5,215465.6,121.459719,31.206481,5473,950
嘉汇广场,1,67788.0,121.443208,31.188127,3385,655
四季园,4,102950.0,121.451936,31.195907,2276,577
园南新村,36,73281.61111111111,121.439964,31.140389,6402,1007
复兴中路1248弄,1,133793.0,121.458698,31.213099,4584,943
大木小区,15,90097.46666666666,121.462771,31.198247,3710,630
大木桥路450弄,9,90129.0,121.46265,31.195602,2560,446
天合雅园,4,102242.5,121.465171,31.196959,2674,514
天平小区,7,103004.42857142857,121.439194,31.19834,3872,843
天平路91弄,1,104610.0,121.438084,31.201201,3959,870
天悦,1,133912.0,121.436307,31.188334,3493,758
天秀苑,2,74091.5,121.430107,31.130344,8978,1248
天钥新村,15,85123.4,121.44698,31.184669,2568,579
